"","listA","listB","listC"
"1","play","time","him"
"2","we","plays","people"
"3","open","miss","moon"
"4","black","look","left"
"5","plane","candy","become"
"6","pretty","into","brought"
"7","shine","contain","toy"
"8","describe","famous","compliment"
"9","will","hot","understand"
"10","imagine","long","however"
"11","jewel","resolve","investigate"
"12","pencil","purchase","short"
"13","lame","pickle","animal"
"14","configuration","pledge","dryer"
"15","an","doubtful","invent"
"16","answer","give","garden"
"17","sick","farmer","without"
"18","spy","street","once"
"19","qualify","circus","testify"
"20","light","faster","almost"
"21","hammer","history","guess"
"22","best","number","chance"
"23","sun","come","morning"
"24","more","library","wood"
"25","bangs","liberty","gravel"
"26","them","round","peace"
"27","went","grasshopper","custom"
"28","distance","budget","elements"
"29","question","business","mystery"
"30","watch","natural","back"
"31","reverse","begin","brush"
"32","building","money","arm"
"33","tried","complete","from"
"34","agreed","truck","waves"
"35","through","great","inside"
"36","whose","guarantee","overwhelm"
"37","fatter","garment","accustomed"
"38","appropriates","potent","telescoped"
"39","hu","ap","uoy"
"40","khtna","et","ypla"
"41","os","fror","om"
"42","fafever","ot","cok"
"43","ujst","asca","inni"
"44","rebosks","losh","unger"
"45","hane","crit","ase"
"46","wawed","pame","charks"
"47","fattify","liffs","mannanency"
"48","strosh","hube","mout"
"49","shring","wase","banny"
"50","nop","scays","flankfopper"
"51","cowbim","idthepiates","alipol"
"52","ancrusinishness","leld","runey"
"53","fistory","sids","pealt"
"54","albust","baafness","sint"
"55","blans","drustion","germantia"
"56","creat","rescets","overtruan"
"57","arsher","bove","slace"
"58","hencory","mot","cuppom"
"59","oban","clomify","dood"
"60","spu","orn","tfaer"
"61","tascer","wirtoul","fasees"
"62","che","jixel","insows"
"63","phlere","slellen","twew"
"64","de","cag","piscil"
"65","trood","roder","garbant"
"66","han","telechinct","ablood"
"67","nied","cotosks","lant"
"68","woft","molent","mich"
"69","cibsus","guoys","imeyits"
"70","naw","trull","hadder"
"71","ggnoi","alk","fawerty"
"72","bledge","cotplicant","cas"
"73","soth","serning","swane"
"74","mun","daople","utashing"
"75","thantboard","hect","sildal"
"76","hust","complase","streat"
"77","chanding","shink","mader"
"78","rackle","bads","recorse"
