"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","listnum"
"193",0.0133118560338771,7.06486970480257,4.70413801460998,0.848546925768121,0.85933070250253,0.857605766096594,0.848546925768121,0.85933070250253,0.855161131455748,"167"
"194",0.0134074743330752,7.0650766125371,4.7029771712196,0.848160114283213,0.867073292441636,0.854530626572012,0.848160114283213,0.867073292441636,0.856588011098954,"70"
"195",0.0134417889386869,7.07472140322169,4.8749853025394,0.853325562767454,0.855587520973224,0.86402928122348,0.853325562767454,0.86402928122348,0.857647454988053,"177"
"196",0.0134445403528532,7.07050906387987,4.83289977553014,0.849076718695033,0.83683786527076,0.852661244899201,0.83683786527076,0.852661244899201,0.846191942954998,"128"
"197",0.0134805785958474,7.06955888021043,4.72389202541556,0.847890421528225,0.855177980111527,0.843858535731789,0.843858535731789,0.855177980111527,0.848975645790514,"135"
"198",0.0135332561332724,7.07420842116184,4.87817114403399,0.844529795264035,0.850209615781316,0.852036077849521,0.844529795264035,0.852036077849521,0.848925162964957,"5"
"199",0.013616211053167,7.07722583111826,4.94748992562658,0.840722159768847,0.849811795339954,0.858226282485092,0.840722159768847,0.858226282485092,0.849586745864631,"227"
"200",0.013624824022429,7.0755627842712,4.85724204395037,0.849438629141195,0.831339728768322,0.846240591535325,0.831339728768322,0.849438629141195,0.842339649814947,"65"
"201",0.0136838373423491,7.0711952692549,4.81701744442042,0.852776797089301,0.840269308001568,0.845229184409264,0.840269308001568,0.852776797089301,0.846091763166711,"243"
"202",0.013824720341312,7.06988680912661,4.80977509885844,0.84004597504394,0.843940421788646,0.838419923348983,0.838419923348983,0.843940421788646,0.84080210672719,"169"
"203",0.0139090752105024,7.06844468603986,4.64314875193264,0.845354848521738,0.847814233486975,0.855405093811242,0.845354848521738,0.855405093811242,0.849524725273319,"213"
"204",0.0140650713904926,7.06869954212452,4.77283791980731,0.850520159093008,0.861463042701662,0.849040058960924,0.849040058960924,0.861463042701662,0.853674420251865,"102"
